name,label,ccc,p_log,replicates,Method,Draw,ccc_hat,selected_lambda,time
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 6)",1000,0.9937285,6,gof,r1.3,1457,15,2.743853000799815
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 6)",1000,0.9937285,6,mle_no_pen,r1.1,1330,NA,13.67769479751587
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 6)",1000,0.9937285,6,mle_no_pen,r1.2,1459,NA,15.28053617477417
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 6)",1000,0.9937285,6,mle_no_pen,r1.3,1457,NA,15.577888011932373
logarithmic_fct-list/ccc_2000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 2000, prob = 0.9937285, replicates = 6)",2000,0.9937285,6,gof,r1.1,2914,0,3.7862964073816934
logarithmic_fct-list/ccc_2000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 2000, prob = 0.9937285, replicates = 6)",2000,0.9937285,6,gof,r1.2,2896,0,3.8805311799049376
logarithmic_fct-list/ccc_2000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 2000, prob = 0.9937285, replicates = 6)",2000,0.9937285,6,gof,r1.3,2905,70,3.7835759202639263
logarithmic_fct-list/ccc_2000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 2000, prob = 0.9937285, replicates = 6)",2000,0.9937285,6,mle_no_pen,r1.1,2914,NA,19.781540155410767
logarithmic_fct-list/ccc_2000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 2000, prob = 0.9937285, replicates = 6)",2000,0.9937285,6,mle_no_pen,r1.2,2896,NA,20.41795587539673
logarithmic_fct-list/ccc_2000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 2000, prob = 0.9937285, replicates = 6)",2000,0.9937285,6,mle_no_pen,r1.3,2905,NA,20.135956525802612
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 6)",1000,0.9937285,6,gof,r1.1,1601,0,2.720478053887685
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 6)",1000,0.9937285,6,gof,r1.2,1471,10,2.6627423763275146
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 6)",1000,0.9937285,6,gof,r1.3,1462,0,2.76085706949234
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 6)",1000,0.9937285,6,mle_no_pen,r1.1,1601,NA,15.176066637039185
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 6)",1000,0.9937285,6,mle_no_pen,r1.2,1471,NA,14.710193157196045
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 6)",1000,0.9937285,6,mle_no_pen,r1.3,1462,NA,14.67388391494751
logarithmic_fct-list/ccc_2000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 2000, prob = 0.9937285, replicates = 6)",2000,0.9937285,6,gof,r1.1,3173,0,3.681161109606425
logarithmic_fct-list/ccc_2000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 2000, prob = 0.9937285, replicates = 6)",2000,0.9937285,6,gof,r1.2,2935,20,3.873082975546519
