method,ccc,alpha,delta,r,ccc_hat,absolute_error,alpha_hat,delta_hat,selected_lambda,time,sim_subset,draw,id,eta,alpha_delta_r
[3] GOF,1e3,0.1,1e-5,14,848,152,0.13806770807341115,6.284542136133142e-6,70,16817.35599999997,1,5,5,"(1e-01, 1e-05)","((1e-01, 1e-05),14)"
[0] MLE,1e3,0.1,0.001,6,1040,40,0.09436349901024274,0.0011666449658114984,NA,341.252,2,1,6,"(1e-01, 1e-03)","((1e-01, 1e-03),6)"
[0] MLE,1e3,0.1,0.001,6,920,80,0.1159716993032494,0.001228390933825181,NA,349.13399999999996,2,2,7,"(1e-01, 1e-03)","((1e-01, 1e-03),6)"
[0] MLE,1e3,0.1,0.001,6,922,78,0.11372252629613265,0.0011863235614008273,NA,334.3559999999999,2,3,8,"(1e-01, 1e-03)","((1e-01, 1e-03),6)"
[0] MLE,1e3,0.1,0.001,6,1177,177,0.07936895486785592,0.0011649198831126194,NA,348.02499999999986,2,4,9,"(1e-01, 1e-03)","((1e-01, 1e-03),6)"
[0] MLE,1e3,0.1,0.001,6,924,76,0.11486160093363129,0.001224918244705592,NA,350.23800000000006,2,5,10,"(1e-01, 1e-03)","((1e-01, 1e-03),6)"
[0] MLE,1e3,0.1,1e-5,6,844,156,0.14201661007451502,7.911772718769217e-6,NA,498.3879999999999,2,1,6,"(1e-01, 1e-05)","((1e-01, 1e-05),6)"
[0] MLE,1e3,0.1,1e-5,6,869,131,0.1278985810267617,6.141915271049462e-6,NA,496.4459999999999,2,2,7,"(1e-01, 1e-05)","((1e-01, 1e-05),6)"
[0] MLE,1e3,0.1,1e-5,6,968,32,0.1012622571681335,6.634292867591334e-6,NA,467.067,2,3,8,"(1e-01, 1e-05)","((1e-01, 1e-05),6)"
[0] MLE,1e3,0.1,1e-5,6,976,24,0.09943796167235236,6.64472002223418e-6,NA,476.7930000000001,2,4,9,"(1e-01, 1e-05)","((1e-01, 1e-05),6)"
[0] MLE,1e3,0.1,1e-5,6,832,168,0.13686512544342663,8.570412894530231e-6,NA,483.7630000000004,2,5,10,"(1e-01, 1e-05)","((1e-01, 1e-05),6)"
[3] GOF,1e3,0.1,0.001,6,832,168,0.12669853912103868,0.0011152571763166465,30,5076.8279999999995,2,1,6,"(1e-01, 1e-03)","((1e-01, 1e-03),6)"
[3] GOF,1e3,0.1,0.001,6,716,284,0.18161734626818798,0.0011985604272867622,100,5151.62,2,2,7,"(1e-01, 1e-03)","((1e-01, 1e-03),6)"
[3] GOF,1e3,0.1,0.001,6,717,283,0.19350481986836635,0.001309342627414528,120,5157.43,2,3,8,"(1e-01, 1e-03)","((1e-01, 1e-03),6)"
[3] GOF,1e3,0.1,0.001,6,1177,177,0.07936895486785592,0.0011649198831126194,0,5237.766,2,4,9,"(1e-01, 1e-03)","((1e-01, 1e-03),6)"
[3] GOF,1e3,0.1,0.001,6,719,281,0.1777104621556719,0.0011951330793269722,100,5198.227000000003,2,5,10,"(1e-01, 1e-03)","((1e-01, 1e-03),6)"
[3] GOF,1e3,0.1,1e-5,6,844,156,0.13329530649073862,5.7252420715428605e-6,10,7260.169999999998,2,1,6,"(1e-01, 1e-05)","((1e-01, 1e-05),6)"
[3] GOF,1e3,0.1,1e-5,6,869,131,0.13567431500040106,6.307513460906801e-6,120,7517.179000000004,2,2,7,"(1e-01, 1e-05)","((1e-01, 1e-05),6)"
[3] GOF,1e3,0.1,1e-5,6,830,170,0.14012163362100472,6.075627710306756e-6,60,7217.237999999998,2,3,8,"(1e-01, 1e-05)","((1e-01, 1e-05),6)"
[3] GOF,1e3,0.1,1e-5,6,976,24,0.1013614987772713,6.648460233094797e-6,60,7324.4100000000035,2,4,9,"(1e-01, 1e-05)","((1e-01, 1e-05),6)"
[3] GOF,1e3,0.1,1e-5,6,832,168,0.14313774379710548,6.288451520860376e-6,90,7266.881000000001,2,5,10,"(1e-01, 1e-05)","((1e-01, 1e-05),6)"
[0] MLE,1e3,0.1,0.001,10,1456,456,0.063046389052785215,9.052929779998927e-4,NA,535.3500000000004,2,1,6,"(1e-01, 1e-03)","((1e-01, 1e-03),10)"
[0] MLE,1e3,0.1,0.001,10,1332,332,0.07169116788908138,9.583241838181377e-4,NA,520.7489999999998,2,2,7,"(1e-01, 1e-03)","((1e-01, 1e-03),10)"
[0] MLE,1e3,0.1,0.001,10,1284,284,0.0682457881767868,0.0010096966975649611,NA,564.79,2,3,8,"(1e-01, 1e-03)","((1e-01, 1e-03),10)"
[0] MLE,1e3,0.1,0.001,10,1140,140,0.08188214812144305,9.138866230816116e-4,NA,523.5219999999999,2,4,9,"(1e-01, 1e-03)","((1e-01, 1e-03),10)"
[0] MLE,1e3,0.1,0.001,10,1263,263,0.07622783382689323,0.0011772316038919138,NA,550.4309999999996,2,5,10,"(1e-01, 1e-03)","((1e-01, 1e-03),10)"
[0] MLE,1e3,0.1,1e-5,10,869,131,0.12960496001500252,8.326522470667373e-6,NA,799.531,2,1,6,"(1e-01, 1e-05)","((1e-01, 1e-05),10)"
[0] MLE,1e3,0.1,1e-5,10,868,132,0.12850278534558,8.340980203060781e-6,NA,793.335000000001,2,2,7,"(1e-01, 1e-05)","((1e-01, 1e-05),10)"
[0] MLE,1e3,0.1,1e-5,10,837,163,0.13760643109594461,7.83780830773212e-6,NA,830.9860000000008,2,3,8,"(1e-01, 1e-05)","((1e-01, 1e-05),10)"
[0] MLE,1e3,0.1,1e-5,10,842,158,0.13248211592384135,7.829988551771673e-6,NA,782.4279999999999,2,4,9,"(1e-01, 1e-05)","((1e-01, 1e-05),10)"
[0] MLE,1e3,0.1,1e-5,10,1286,286,0.07117536568984835,7.67486722762019e-6,NA,770.5370000000003,2,5,10,"(1e-01, 1e-05)","((1e-01, 1e-05),10)"
[3] GOF,1e3,0.1,0.001,10,1456,456,0.063046389052785215,9.052929779998927e-4,0,8307.156000000003,2,1,6,"(1e-01, 1e-03)","((1e-01, 1e-03),10)"
[3] GOF,1e3,0.1,0.001,10,1127,127,0.0829727798458099,9.058270052386445e-4,70,8329.152000000002,2,2,7,"(1e-01, 1e-03)","((1e-01, 1e-03),10)"
[3] GOF,1e3,0.1,0.001,10,963,37,0.10635391690328962,0.001064019774057431,100,8524.220000000001,2,3,8,"(1e-01, 1e-03)","((1e-01, 1e-03),10)"
[3] GOF,1e3,0.1,0.001,10,1140,140,0.08188214812144305,9.138866230816116e-4,0,8151.983999999997,2,4,9,"(1e-01, 1e-03)","((1e-01, 1e-03),10)"
[3] GOF,1e3,0.1,0.001,10,1473,473,0.062293051470392005,0.0010211511751102038,20,8340.606999999989,2,5,10,"(1e-01, 1e-03)","((1e-01, 1e-03),10)"
[3] GOF,1e3,0.1,1e-5,10,869,131,0.14076981205474784,7.1389893279791266e-6,40,11759.654999999999,2,1,6,"(1e-01, 1e-05)","((1e-01, 1e-05),10)"
[3] GOF,1e3,0.1,1e-5,10,1013,13,0.1027597015790778,6.48940426072469e-6,110,11963.877999999997,2,2,7,"(1e-01, 1e-05)","((1e-01, 1e-05),10)"
[3] GOF,1e3,0.1,1e-5,10,837,163,0.133682639938473,6.835518566274128e-6,50,11970.64499999999,2,3,8,"(1e-01, 1e-05)","((1e-01, 1e-05),10)"
[3] GOF,1e3,0.1,1e-5,10,982,18,0.09812374925218144,6.492182478801875e-6,30,11638.815999999992,2,4,9,"(1e-01, 1e-05)","((1e-01, 1e-05),10)"
[3] GOF,1e3,0.1,1e-5,10,857,143,0.13472521485702219,6.202908749668146e-6,90,11858.505999999994,2,5,10,"(1e-01, 1e-05)","((1e-01, 1e-05),10)"
[0] MLE,1e3,0.1,0.001,14,1144,144,0.08717954248665342,0.001166511946131265,NA,759.6869999999999,2,1,6,"(1e-01, 1e-03)","((1e-01, 1e-03),14)"
[0] MLE,1e3,0.1,0.001,14,856,144,0.13026609316652377,0.0011595854318927526,NA,774.3389999999999,2,2,7,"(1e-01, 1e-03)","((1e-01, 1e-03),14)"
[0] MLE,1e3,0.1,0.001,14,1036,36,0.09696644723497248,0.0010954477420164832,NA,765.6380000000008,2,3,8,"(1e-01, 1e-03)","((1e-01, 1e-03),14)"
[0] MLE,1e3,0.1,0.001,14,847,153,0.12616459250513187,0.0011116616592115238,NA,775.3250000000007,2,4,9,"(1e-01, 1e-03)","((1e-01, 1e-03),14)"
[0] MLE,1e3,0.1,0.001,14,969,31,0.10295105086722028,0.00120461160588404,NA,771.8310000000001,2,5,10,"(1e-01, 1e-03)","((1e-01, 1e-03),14)"
[0] MLE,1e3,0.1,1e-5,14,869,131,0.12992611737729665,8.320969040688182e-6,NA,1066.5139999999992,2,1,6,"(1e-01, 1e-05)","((1e-01, 1e-05),14)"
[0] MLE,1e3,0.1,1e-5,14,837,163,0.135160723690321,8.339208300503083e-6,NA,1107.8270000000011,2,2,7,"(1e-01, 1e-05)","((1e-01, 1e-05),14)"
[0] MLE,1e3,0.1,1e-5,14,842,158,0.12992501781454888,8.912927194334935e-6,NA,1104.9939999999988,2,3,8,"(1e-01, 1e-05)","((1e-01, 1e-05),14)"
[0] MLE,1e3,0.1,1e-5,14,866,134,0.13220273778132155,5.964552275477579e-6,NA,1148.8640000000014,2,4,9,"(1e-01, 1e-05)","((1e-01, 1e-05),14)"
[0] MLE,1e3,0.1,1e-5,14,969,31,0.10041919519064899,6.655240014861553e-6,NA,1081.9779999999992,2,5,10,"(1e-01, 1e-05)","((1e-01, 1e-05),14)"
[3] GOF,1e3,0.1,0.001,14,1144,144,0.08730220387914754,9.444719760409396e-4,40,11461.125,2,1,6,"(1e-01, 1e-03)","((1e-01, 1e-03),14)"
[3] GOF,1e3,0.1,0.001,14,1070,70,0.0916455065282816,9.651025581688391e-4,10,11510.899000000005,2,2,7,"(1e-01, 1e-03)","((1e-01, 1e-03),14)"
[3] GOF,1e3,0.1,0.001,14,1036,36,0.09707066268464143,9.651494423957242e-4,80,11056.65300000002,2,3,8,"(1e-01, 1e-03)","((1e-01, 1e-03),14)"
[3] GOF,1e3,0.1,0.001,14,847,153,0.12616459250513187,0.0011116616592115238,0,11331.331000000006,2,4,9,"(1e-01, 1e-03)","((1e-01, 1e-03),14)"
[3] GOF,1e3,0.1,0.001,14,1184,184,0.08321915654531355,0.0010499053041762056,30,11400.833000000013,2,5,10,"(1e-01, 1e-03)","((1e-01, 1e-03),14)"
[3] GOF,1e3,0.1,1e-5,14,869,131,0.12987869508683325,7.251546366291984e-6,100,15519.907000000007,2,1,6,"(1e-01, 1e-05)","((1e-01, 1e-05),14)"
[3] GOF,1e3,0.1,1e-5,14,837,163,0.13371029789832733,5.597182124748542e-6,30,14916.983999999997,2,2,7,"(1e-01, 1e-05)","((1e-01, 1e-05),14)"
[3] GOF,1e3,0.1,1e-5,14,842,158,0.13239278160677556,5.6387097931879254e-6,80,14667.049000000028,2,3,8,"(1e-01, 1e-05)","((1e-01, 1e-05),14)"
[3] GOF,1e3,0.1,1e-5,14,866,134,0.13220273778132155,5.964552275477579e-6,0,14810.51000000001,2,4,9,"(1e-01, 1e-05)","((1e-01, 1e-05),14)"
[3] GOF,1e3,0.1,1e-5,14,831,169,0.14009203514103366,6.251171430232964e-6,10,15702.564999999944,2,5,10,"(1e-01, 1e-05)","((1e-01, 1e-05),14)"
[0] MLE,1e3,0.1,0.001,6,1034,34,0.10160660688300663,9.760442200241566e-4,NA,247.798,3,1,11,"(1e-01, 1e-03)","((1e-01, 1e-03),6)"
[0] MLE,1e3,0.1,0.001,6,816,184,0.14031414302701628,0.0012428402777247992,NA,237.352,3,2,12,"(1e-01, 1e-03)","((1e-01, 1e-03),6)"
[0] MLE,1e3,0.1,0.001,6,1188,188,0.07403589790738534,0.0010088141629360915,NA,232.42700000000002,3,3,13,"(1e-01, 1e-03)","((1e-01, 1e-03),6)"
[0] MLE,1e3,0.1,0.001,6,869,131,0.12830002286827416,0.0010811839087077348,NA,253.89,3,4,14,"(1e-01, 1e-03)","((1e-01, 1e-03),6)"
[0] MLE,1e3,0.1,0.001,6,850,150,0.12700110975139664,0.0011508026518422662,NA,242.88400000000001,3,5,15,"(1e-01, 1e-03)","((1e-01, 1e-03),6)"
[0] MLE,1e3,0.1,1e-5,6,833,167,0.14088807515887503,6.706954817794737e-6,NA,349.91499999999996,3,1,11,"(1e-01, 1e-05)","((1e-01, 1e-05),6)"
[0] MLE,1e3,0.1,1e-5,6,973,27,0.10258044990098407,6.645458733086434e-6,NA,350.03700000000003,3,2,12,"(1e-01, 1e-05)","((1e-01, 1e-05),6)"
[0] MLE,1e3,0.1,1e-5,6,827,173,0.13314728357275388,6.360880548940607e-6,NA,355.98799999999983,3,3,13,"(1e-01, 1e-05)","((1e-01, 1e-05),6)"
[0] MLE,1e3,0.1,1e-5,6,866,134,0.13654106540203514,8.61584646027251e-6,NA,360.12199999999984,3,4,14,"(1e-01, 1e-05)","((1e-01, 1e-05),6)"
[0] MLE,1e3,0.1,1e-5,6,1001,1,0.0947070165062279,6.6638832420759524e-6,NA,358.85199999999986,3,5,15,"(1e-01, 1e-05)","((1e-01, 1e-05),6)"
[3] GOF,1e3,0.1,0.001,6,1034,34,0.10160660688300663,9.760442200241566e-4,0,3616.134,3,1,11,"(1e-01, 1e-03)","((1e-01, 1e-03),6)"
[3] GOF,1e3,0.1,0.001,6,714,286,0.17335289977017956,0.001215044457871878,60,3528.96,3,2,12,"(1e-01, 1e-03)","((1e-01, 1e-03),6)"
[3] GOF,1e3,0.1,0.001,6,1089,89,0.09080713254734075,0.0010440955190749255,40,3489.0030000000006,3,3,13,"(1e-01, 1e-03)","((1e-01, 1e-03),6)"
[3] GOF,1e3,0.1,0.001,6,869,131,0.12830002286827416,0.0010811839087077348,0,3808.821,3,4,14,"(1e-01, 1e-03)","((1e-01, 1e-03),6)"
[3] GOF,1e3,0.1,0.001,6,850,150,0.1308865996818452,0.0011639765192979791,10,3662.974,3,5,15,"(1e-01, 1e-03)","((1e-01, 1e-03),6)"
[3] GOF,1e3,0.1,1e-5,6,833,167,0.13819880417949273,6.235239786587619e-6,80,5029.810999999998,3,1,11,"(1e-01, 1e-05)","((1e-01, 1e-05),6)"
[3] GOF,1e3,0.1,1e-5,6,834,166,0.14534187732993492,6.288057904610107e-6,100,5193.329999999998,3,2,12,"(1e-01, 1e-05)","((1e-01, 1e-05),6)"
